Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Climate Year,SSP245_CMR5_2025,SSP245_CMR5_2026,SSP245_CMR5_2027,SSP245_CMR5_2028,SSP245_CMR5_2029,SSP245_CMR5_2030,SSP245_CMR5_2031,SSP245_CMR5_2032,SSP245_CMR5_2033,SSP245_CMR5_2034,SSP245_ECE3_2025,SSP245_ECE3_2026,SSP245_ECE3_2027,SSP245_ECE3_2028,SSP245_ECE3_2029,SSP245_ECE3_2030,SSP245_ECE3_2031,SSP245_ECE3_2032,SSP245_ECE3_2033,SSP245_ECE3_2034,SSP245_MEHR_2025,SSP245_MEHR_2026,SSP245_MEHR_2027,SSP245_MEHR_2028,SSP245_MEHR_2029,SSP245_MEHR_2030,SSP245_MEHR_2031,SSP245_MEHR_2032,SSP245_MEHR_2033,SSP245_MEHR_2034
02.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
